T,P,h,V,is_starred
15.0,3.4132,0.0,0.0013408,false
15.0,3.7133,40.0,0.0011914,false
15.0,4.0133,79.0,0.0010458,true
15.0,4.3133,111.0,0.0009263,false
15.0,4.6132,140.0,0.0008180,false
15.0,4.9132,161.0,0.0007395,false
15.0,5.2133,183.0,0.0006573,false
15.0,5.5133,203.0,0.0005827,false
15.0,5.9133,239.0,0.0004482,false
15.0,6.0633,244.0,0.0004295,false
15.0,6.1132,249.0,0.0004108,false
15.0,6.1132,254.0,0.0003922,false
15.0,6.1633,259.0,0.0003735,false
15.0,6.1633,264.0,0.0003548,false
15.0,6.2033,269.0,0.0003361,false
15.0,6.2133,274.0,0.0003175,false
15.0,6.2233,279.0,0.0002988,false
15.0,6.2233,284.0,0.0002801,false
15.0,6.2633,289.0,0.0002614,false
15.0,6.2933,294.0,0.0002428,false
15.0,6.3133,299.0,0.0002241,false
15.0,6.3333,304.0,0.0002054,false
15.0,6.3632,309.0,0.0001867,false
15.0,6.4032,314.0,0.0001681,false
15.0,6.5033,319.0,0.0001494,false
15.0,6.5633,324.0,0.0001307,false
15.0,6.8433,329.0,0.0001120,false
15.0,7.2332,334.0,0.0000934,false
15.0,9.0132,337.0,0.0000822,false
