T,P,h,V,is_starred
40.0,3.7332,0.0,0.0013408,false
40.0,4.0133,38.0,0.0011989,false
40.0,4.3133,72.0,0.0010719,false
40.0,4.6132,99.0,0.0009711,false
40.0,4.9132,121.0,0.0008889,false
40.0,5.2133,144.0,0.0008030,false
40.0,5.5133,162.0,0.0007358,false
40.0,5.8133,179.0,0.0006723,false
40.0,6.1132,194.0,0.0006163,false
40.0,6.4133,207.0,0.0005677,false
40.0,6.7133,221.0,0.0005154,false
40.0,7.0133,231.0,0.0004781,false
40.0,7.3133,242.0,0.0004370,false
40.0,7.6132,251.0,0.0004034,false
40.0,7.9133,260.0,0.0003698,false
40.0,8.2133,268.0,0.0003399,false
40.0,8.5132,277.0,0.0003063,false
40.0,8.8133,284.0,0.0002801,false
40.0,9.0132,289.0,0.0002614,false
