T,P,h,V,is_starred
70.0,4.1132,0.0,0.0164874,false
70.0,4.4132,37.0,0.0147881,false
70.0,4.7133,60.0,0.0137319,false
70.0,5.0133,91.0,0.0123081,false
70.0,5.3133,108.0,0.0115274,false
70.0,5.6132,127.0,0.0106548,false
70.0,5.9133,148.0,0.0096904,false
70.0,6.2133,163.0,0.0090015,false
70.0,6.5133,176.0,0.0084044,false
70.0,6.8133,188.0,0.0078533,false
70.0,7.1132,200.0,0.0073022,false
70.0,7.4133,209.0,0.0068889,false
70.0,7.7133,218.0,0.0064756,false
70.0,8.0132,227.0,0.0060622,false
70.0,8.3133,234.0,0.0057407,false
70.0,8.6132,241.0,0.0054193,false
70.0,8.9132,247.0,0.0051437,false
70.0,9.0132,249.0,0.0050519,false
