T,P,h,V,is_starred
31.1,3.6132,0.0,0.0013408,false
31.1,3.9132,40.0,0.0011914,false
31.1,4.2133,74.0,0.0010645,false
31.1,4.5133,103.0,0.0009561,false
31.1,4.8133,127.0,0.0008665,false
31.1,5.1132,150.0,0.0007806,false
31.1,5.4133,170.0,0.0007059,false
31.1,5.7133,187.0,0.0006424,false
31.1,6.0133,202.0,0.0005864,false
31.1,6.3133,212.0,0.0005490,false
31.1,6.6132,229.0,0.0004855,false
31.1,6.9133,240.0,0.0004445,false
31.1,7.2133,252.0,0.0003996,false
31.1,7.5133,263.0,0.0003586,false
31.1,7.8133,273.0,0.0003212,false
31.1,8.1132,286.0,0.0002727,false
31.1,8.4132,302.0,0.0002129,true
31.1,8.4432,310.0,0.0001830,false
31.1,8.5332,315.0,0.0001643,false
31.1,8.6632,320.0,0.0001457,false
31.1,8.8432,325.0,0.0001270,false
31.1,9.0132,327.0,0.0001195,false
