T,P,h,V,is_starred
35.0,3.6932,0.0,0.0013408,false
35.0,4.0133,40.0,0.0011914,false
35.0,4.3133,80.0,0.0010420,false
35.0,4.6132,108.0,0.0009375,false
35.0,4.9132,130.0,0.0008553,false
35.0,5.2133,153.0,0.0007694,false
35.0,5.5133,172.0,0.0006984,false
35.0,5.8133,188.0,0.0006387,false
35.0,6.1132,202.0,0.0005864,false
35.0,6.4133,215.0,0.0005378,false
35.0,6.7133,228.0,0.0004893,false
35.0,7.0133,239.0,0.0004482,false
35.0,7.3133,249.0,0.0004108,false
35.0,7.6132,259.0,0.0003735,false
35.0,7.9133,270.0,0.0003324,false
35.0,8.2133,279.0,0.0002988,false
35.0,8.5132,288.0,0.0002652,false
35.0,8.8133,299.0,0.0002241,false
35.0,9.0132,307.0,0.0001942,false
