T,P,h,V,is_starred
70.0,3.1,0.0,0.012363110407052827,false
70.0,3.4,37.0,0.011088917969557133,false
70.0,3.7,60.0,0.010296852400303052,false
70.0,4.0,91.0,0.009229285763482333,false
70.0,4.3,108.0,0.00864384599490323,false
70.0,4.6,127.0,0.007989530959432467,false
70.0,4.9,148.0,0.007266340657070046,false
70.0,5.2,163.0,0.0067497761553826025,false
70.0,5.5,176.0,0.006302086920586817,false
70.0,5.8,188.0,0.005888835319236862,false
70.0,6.1,200.0,0.005475583717886907,false
70.0,6.4,209.0,0.00516564501687444,false
70.0,6.7,218.0,0.004855706315861974,false
70.0,7.0,227.0,0.004545767614849507,false
70.0,7.3,234.0,0.004304704180728701,false
70.0,7.6,241.0,0.004063640746607893,false
70.0,7.9,247.0,0.0038570149459329155,false
70.0,8.0,249.0,0.003788139679041256,false
