T,P,h,V,is_starred
40.0,2.72,0.0,0.012363110407052827,false
40.0,3.0,38.0,0.011054480336111302,false
40.0,3.3,72.0,0.009883600798953096,false
40.0,3.6,99.0,0.008953784695915696,false
40.0,3.9,121.0,0.008196156760107445,false
40.0,4.2,144.0,0.007404091190853364,false
40.0,4.5,162.0,0.006784213788828432,false
40.0,4.8,179.0,0.006198774020249328,false
40.0,5.1,194.0,0.005682209518561884,false
40.0,5.4,207.0,0.0052345202837660995,false
40.0,5.7,221.0,0.004752393415524485,false
40.0,6.0,231.0,0.0044080170810661895,false
40.0,6.3,242.0,0.004029203113162063,false
40.0,6.6,251.0,0.003719264412149597,false
40.0,6.9,260.0,0.0034093257111371305,false
40.0,7.2,268.0,0.0031338246435704937,false
40.0,7.5,277.0,0.0028238859425580272,false
40.0,7.8,284.0,0.00258282250843722,false
40.0,8.0,289.0,0.0024106343412080723,false
