T,P,h,V,is_starred
50.0,3.8332,0.0,0.0013408,false
50.0,4.1132,33.0,0.0012176,false
50.0,4.4132,61.0,0.0011130,false
50.0,4.7133,93.0,0.0009935,false
50.0,5.0133,116.0,0.0009076,false
50.0,5.3133,138.0,0.0008254,false
50.0,5.6132,156.0,0.0007582,false
50.0,5.9133,173.0,0.0006947,false
50.0,6.2133,188.0,0.0006387,false
50.0,6.5133,200.0,0.0005939,false
50.0,6.8133,213.0,0.0005453,false
50.0,7.1132,223.0,0.0005080,false
50.0,7.4133,233.0,0.0004706,false
50.0,7.7133,241.0,0.0004407,false
50.0,8.0132,250.0,0.0004071,false
50.0,8.3133,258.0,0.0003772,false
50.0,8.6132,264.0,0.0003548,false
50.0,8.9132,270.0,0.0003324,false
50.0,9.0132,273.0,0.0003212,false
