T,P,h,V,is_starred
20.0,2.42,0.0,0.012363110407052827,false
20.0,2.7,34.0,0.01119223086989462,false
20.0,3.0,74.0,0.009814725532061436,false
20.0,3.3,105.0,0.00874715889524072,false
20.0,3.6,132.0,0.00781734279220332,false
20.0,3.9,156.0,0.006990839589503409,false
20.0,4.2,177.0,0.006267649287140987,false
20.0,4.5,196.0,0.005613334251670225,false
20.0,4.8,213.0,0.0050278944830911216,false
20.0,5.1,228.0,0.004511329981403678,false
20.0,5.4,242.0,0.004029203113162063,false
20.0,5.7,261.0,0.0033748880776913012,true
20.0,5.71,265.0,0.0032371375439079826,false
20.0,5.72,271.0,0.003030511743233005,false
20.0,5.73,275.0,0.0028927612094496865,false
20.0,5.74,280.0,0.0027205730422205387,false
20.0,5.78,285.0,0.0025483848749913904,false
20.0,5.79,290.0,0.0023761967077622426,false
20.0,5.81,295.0,0.0022040085405330948,false
20.0,5.82,300.0,0.0020318203733039465,false
20.0,5.88,305.0,0.0018596322060747985,false
20.0,5.93,310.0,0.0016874440388456506,false
20.0,6.01,315.0,0.0015152558716165026,false
20.0,6.11,320.0,0.0013430677043873545,false
20.0,6.28,325.0,0.0011708795371582065,false
20.0,6.5,330.0,0.0009986913699290584,false
20.0,8.0,335.0,0.0008265032026999105,false
