T,P,h,V,is_starred
70.0,4.1132,0.0,0.0013408,false
70.0,4.4132,37.0,0.0012027,false
70.0,4.7133,60.0,0.0011167,false
70.0,5.0133,91.0,0.0010010,false
70.0,5.3133,108.0,0.0009375,false
70.0,5.6132,127.0,0.0008665,false
70.0,5.9133,148.0,0.0007881,false
70.0,6.2133,163.0,0.0007320,false
70.0,6.5133,176.0,0.0006835,false
70.0,6.8133,188.0,0.0006387,false
70.0,7.1132,200.0,0.0005939,false
70.0,7.4133,209.0,0.0005602,false
70.0,7.7133,218.0,0.0005266,false
70.0,8.0132,227.0,0.0004930,false
70.0,8.3133,234.0,0.0004669,false
70.0,8.6132,241.0,0.0004407,false
70.0,8.9132,247.0,0.0004183,false
70.0,9.0132,249.0,0.0004108,false
