T,P,h,V,is_starred
25.0,3.5332,0.0,0.0013408,false
25.0,3.8133,38.0,0.0011989,false
25.0,4.1132,74.0,0.0010645,false
25.0,4.4132,105.0,0.0009487,false
25.0,4.7133,131.0,0.0008516,false
25.0,5.0133,153.0,0.0007694,false
25.0,5.3133,175.0,0.0006872,false
25.0,5.6132,192.0,0.0006237,false
25.0,5.9133,207.0,0.0005677,false
25.0,6.2133,222.0,0.0005117,false
25.0,6.5133,237.0,0.0004557,false
25.0,6.8133,249.0,0.0004108,false
25.0,7.1132,261.0,0.0003660,false
25.0,7.4133,278.0,0.0003025,true
25.0,7.4333,285.0,0.0002764,false
25.0,7.4933,294.0,0.0002428,false
25.0,7.5133,297.0,0.0002316,false
25.0,7.5433,304.0,0.0002054,false
25.0,7.6233,310.0,0.0001830,false
25.0,7.7332,315.0,0.0001643,false
25.0,7.8632,320.0,0.0001457,false
25.0,8.0132,325.0,0.0001270,false
25.0,8.3733,330.0,0.0001083,false
25.0,8.8133,332.0,0.0001008,false
25.0,9.0132,333.0,0.0000971,false
