T,P,h,V,is_starred
60.0,4.0133,0.0,0.0013408,false
60.0,4.3133,41.0,0.0011877,false
60.0,4.6132,70.0,0.0010794,false
60.0,4.9132,92.0,0.0009972,false
60.0,5.2133,118.0,0.0009001,false
60.0,5.5133,139.0,0.0008217,false
60.0,5.8133,149.0,0.0007843,false
60.0,6.1132,169.0,0.0007096,false
60.0,6.4133,183.0,0.0006573,false
60.0,6.7133,191.0,0.0006275,false
60.0,7.0133,207.0,0.0005677,false
60.0,7.3133,212.0,0.0005490,false
60.0,7.6132,221.0,0.0005154,false
60.0,7.9133,234.0,0.0004669,false
60.0,8.2133,242.0,0.0004370,false
60.0,8.5132,249.0,0.0004108,false
60.0,8.8133,255.0,0.0003884,false
60.0,9.0132,259.0,0.0003735,false
