T,P,h,V,is_starred
10.0,3.3133,0.0,0.0013408,false
10.0,3.6132,43.0,0.0011802,false
10.0,3.9132,81.0,0.0010383,false
10.0,4.2133,117.0,0.0009039,false
10.0,4.5133,142.0,0.0008105,false
10.0,4.8133,167.0,0.0007171,false
10.0,5.1132,188.0,0.0006387,false
10.0,5.4133,208.0,0.0005640,false
10.0,5.5633,227.0,0.0004930,true
10.0,5.5933,232.0,0.0004743,false
10.0,5.6132,250.0,0.0004071,false
10.0,5.6132,255.0,0.0003884,false
10.0,5.6333,260.0,0.0003698,false
10.0,5.6633,265.0,0.0003511,false
10.0,5.6633,275.0,0.0003137,false
10.0,5.6633,270.0,0.0003324,false
10.0,5.6633,275.0,0.0003137,false
10.0,5.6633,280.0,0.0002951,false
10.0,5.6633,285.0,0.0002764,false
10.0,5.6633,290.0,0.0002577,false
10.0,5.6932,295.0,0.0002390,false
10.0,5.7133,300.0,0.0002204,false
10.0,5.7233,305.0,0.0002017,false
10.0,5.8632,316.0,0.0001606,false
10.0,5.9333,320.0,0.0001457,false
10.0,6.1333,325.0,0.0001270,false
10.0,6.4633,330.0,0.0001083,false
10.0,7.6132,335.0,0.0000896,false
10.0,9.0132,337.0,0.0000822,false
